cocnumber,dem_soc_singparent_acs5yr,dem_soc_vet_acs5yr,dem_soc_ed_bach_acs5yr,ratio_white_population_to_total_population,ratio_black_population_to_total_population,ratio_asian_population_to_total_population,ratio_other_population_to_total_population ,ratio_hispanic_population_to_total_population,env_wea_avgtemp_summer_noaa,env_wea_precip_annual_noaa,env_wea_precip_noaa,d_env_wea_avgtemp_noaa,giniHouseholds,totalUnemployed,medianIncome,povertyRate,median_rent,rental_vacancy_rate,utility_costs,econ_sn_cashasst_acs5yr_2017,econ_sn_eitc_irs_share,hou_mkt_homeage1940_acs5yr_2017,hou_pol_hudunit_psh_hud_share,totHLess,hou_mkt_burden_sev_rent_acs_diff
VA-504,0.211881362,0.105362605,0.421246737,0.76679831,0.129464439,0.035634798,0.020431777,0.045087281,74.80164146,44.9220953,2.989803091,0.990837097,0.457822175,6326.75,59.46884843,11.6475265,862.1584778,0.073315986,156.2716903,1.754810095,14.44966807,8.069529533,2.313849062,191.625,-1.19265914
VA-505,0.325217068,0.200999036,0.316817313,0.545049257,0.329693561,0.030198715,0.028835292,0.061541355,78.37905216,49.65361404,3.343773261,0.585445404,0.419459907,15463.625,57.59422883,12.29832017,904.4838867,0.088510391,154.1024094,2.513352871,20.24278314,4.25826025,5.48948139,572.25,3.006489515
VA-507,0.495580986,0.173504949,0.212680392,0.397968054,0.52584241,0.011804726,0.023055923,0.03623018,78.72000122,50.46999979,3.239999995,1.150001526,0.4213,3624.75,43.4705,17.92342329,775.5,0.065059301,172.5,3.78393054,28.58240155,12.20825386,9.197259307,213.5,-0.959762931
VA-508,0.269471318,0.12421117,0.262832277,0.769813723,0.17287982,0.014355359,0.016265982,0.022957811,74.55919552,46.5592289,3.468425065,0.984096527,0.441935355,7842.375,46.30687968,13.9565593,536.2337799,0.05138389,162.9446564,2.267248869,19.54902404,10.12848663,2.580588639,200.125,-0.459709764
VA-513,0.216029339,0.11049132,0.264774963,0.844402099,0.041958996,0.01464867,0.015878474,0.080674371,72.19252586,40.94768906,2.69308117,1.453109741,0.426347604,11045.375,53.00036783,12.69564068,712.4835511,0.059195539,173.8662339,1.904217005,17.28623227,12.95757103,1.535840556,308.25,-2.175970316
VA-514,0.20490545,0.184703961,0.333364069,0.679398406,0.176430903,0.024533947,0.028785625,0.08627419,76.07273006,42.17873335,2.742418498,0.745441437,0.382915196,9887.5,78.93716779,7.744724929,1084.922791,0.067426471,187.546051,1.693866014,14.52405643,3.354281187,1.532440111,213.375,1.510548592
VA-521,0.27226311,0.117958676,0.205878325,0.769431677,0.170698538,0.009970738,0.014236591,0.03268765,73.96666527,46.70453501,3.352729097,1.601043701,0.440066456,57490.625,44.55602782,16.00131393,547.8826294,0.07289106,173.6996689,2.510019779,21.77731705,10.97082424,2.602179855,851,0.812597573
VA-600,0.187663198,0.081146926,0.750254691,0.640489008,0.083141595,0.097501359,0.024919475,0.151320455,76.62285709,42.96270227,2.613042817,1.946334839,0.434059948,5257.625,101.5079019,7.258433342,1649.742126,0.058985789,71.18043137,1.133078694,6.679646901,9.316289902,2.526204646,357.75,2.78134346
VA-601,0.15371,0.109423507,0.606347859,0.536603567,0.092496645,0.182074403,0.028565585,0.157896929,76.21486759,41.56304121,2.653399915,1.938430786,0.417776357,27093.5,107.9526985,6.096798956,1550.84961,0.040977557,125.1617585,0.927966833,9.858012336,1.022677898,1.955579951,1304.625,1.054304838
VA-602,0.117199417,0.096325036,0.603320211,0.603731331,0.072860298,0.162290903,0.029789399,0.128873438,74.43375015,41.93000031,2.893749997,1.959999084,0.36925,8050.625,121.5705,3.733637959,1465,0.06141536,189,0.953251421,7.530185223,3.094946623,0.825565539,156.125,-0.460836291
VA-603,0.265636623,0.10012982,0.62671116,0.529649314,0.217796109,0.062975849,0.023367361,0.163192018,77.28458309,42.68249989,2.57249999,1.959999084,0.44865,3780,83.2885,8.967651427,1402.5,0.044711359,100.5,1.461880922,10.95797947,8.515455246,6.431504726,296.375,3.188221216
VA-604,0.182334781,0.145132981,0.381468296,0.466937008,0.192983882,0.077736013,0.032668219,0.226090737,76.2051506,40.69731665,2.576087773,1.944278717,0.373873504,12993.875,90.83377072,7.017983079,1296.927246,0.054685995,178.5947037,1.802356958,14.47454316,1.355495811,1.744767681,453.375,1.62808001
VT-500,0.212873995,0.113960158,0.319241136,0.950775713,0.007011097,0.008075667,0.015106598,0.015126967,65.02657747,46.42603827,2.463190898,6.115097046,0.429775742,13401.625,50.04078976,11.71086061,703.2906189,0.057298873,112.8963166,4.111179829,15.82354559,27.86213493,3.149127394,850.875,0.250606239
VT-501,0.215874732,0.089222331,0.497264951,0.904598482,0.021440963,0.033140911,0.017895477,0.020409822,67.03541756,43.87249994,2.03124997,6.270000458,0.441,3545.875,62.3635,9.98919034,944,0.028239113,128,4.011747837,10.40389061,19.01129913,6.568287671,449.375,-1.228368282
WA-500,0.191642739,0.084376961,0.492639929,0.634873745,0.062140606,0.157118963,0.040655232,0.090970962,60.44124985,79.61499977,9.258749902,-2.310001373,0.46275,69747.75,73.329125,10.92106724,1046,0.036324973,120.5,2.793406248,10.09546907,12.34887886,3.827484459,9680.375,-1.375533581
